2023-12-19 19:12:220 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:69 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (6938d41399bd29a79d2104fb43f0aebf)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:106 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (6938d41399bd29a79d2104fb43f0aebf)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:137 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (6938d41399bd29a79d2104fb43f0aebf)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:705 INFO  ManageBrowser :28 - Getting text from : [[ChromeDriver: chrome on windows (6938d41399bd29a79d2104fb43f0aebf)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-19 19:12:479 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:342 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (d1ee479cb3862dab938c30d577641a8e)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:389 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (d1ee479cb3862dab938c30d577641a8e)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:420 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (d1ee479cb3862dab938c30d577641a8e)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:47 INFO  ManageBrowser :41 - Verifying orangeHRM Logo from : [[ChromeDriver: chrome on windows (d1ee479cb3862dab938c30d577641a8e)] -> xpath: //img[@alt='client brand banner']]
2023-12-19 19:12:859 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:824 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (fe06adbcc42d854346b398bbf4f92f70)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:873 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (fe06adbcc42d854346b398bbf4f92f70)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:904 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (fe06adbcc42d854346b398bbf4f92f70)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:507 INFO  ManageBrowser :34 - Clicking on user profile logo : [[ChromeDriver: chrome on windows (fe06adbcc42d854346b398bbf4f92f70)] -> xpath: //img[@class='oxd-userdropdown-img']]
2023-12-19 19:12:416 INFO  ManageBrowser :39 - Clicking on logout link : [[ChromeDriver: chrome on windows (fe06adbcc42d854346b398bbf4f92f70)] -> xpath: //a[normalize-space()='Logout']]
2023-12-19 19:12:476 INFO  ManageBrowser :60 - Verify text for login panel : Proxy element for: DefaultElementLocator 'By.xpath: //h5[normalize-space()='Login']'
2023-12-19 19:12:474 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:364 INFO  ManageBrowser :46 - Send  to username field : [[ChromeDriver: chrome on windows (0d44e01ec0d6dc902dac2e6cd444dd3f)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:398 INFO  ManageBrowser :51 - Send  to password field : [[ChromeDriver: chrome on windows (0d44e01ec0d6dc902dac2e6cd444dd3f)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:421 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (0d44e01ec0d6dc902dac2e6cd444dd3f)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:437 INFO  ManageBrowser :65 - Getting username field blank error message : [[ChromeDriver: chrome on windows (0d44e01ec0d6dc902dac2e6cd444dd3f)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2023-12-19 19:12:207 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:514 INFO  ManageBrowser :46 - Send test123@gmail.com to username field : [[ChromeDriver: chrome on windows (6732b7c2264a8f3e92f50af945bedad6)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:549 INFO  ManageBrowser :51 - Send  to password field : [[ChromeDriver: chrome on windows (6732b7c2264a8f3e92f50af945bedad6)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:578 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (6732b7c2264a8f3e92f50af945bedad6)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:587 INFO  ManageBrowser :70 - Getting password field blank error message : [[ChromeDriver: chrome on windows (6732b7c2264a8f3e92f50af945bedad6)] -> xpath: //span[@class='oxd-text oxd-text--span oxd-input-field-error-message oxd-input-group__message']]
2023-12-19 19:12:345 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:743 INFO  ManageBrowser :46 - Send  to username field : [[ChromeDriver: chrome on windows (46af686ae3db0b24ab849425f96a11ae)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:784 INFO  ManageBrowser :51 - Send test123 to password field : [[ChromeDriver: chrome on windows (46af686ae3db0b24ab849425f96a11ae)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:816 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (46af686ae3db0b24ab849425f96a11ae)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:825 INFO  ManageBrowser :65 - Getting username field blank error message : [[ChromeDriver: chrome on windows (46af686ae3db0b24ab849425f96a11ae)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2023-12-19 19:12:612 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:741 INFO  ManageBrowser :46 - Send test123@gmail.com to username field : [[ChromeDriver: chrome on windows (f117f8c1aa1682e9ccdd32efe8e3f9cd)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:781 INFO  ManageBrowser :51 - Send test123 to password field : [[ChromeDriver: chrome on windows (f117f8c1aa1682e9ccdd32efe8e3f9cd)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:811 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (f117f8c1aa1682e9ccdd32efe8e3f9cd)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:953 INFO  ManageBrowser :75 - Getting invalid credential error message : [[ChromeDriver: chrome on windows (f117f8c1aa1682e9ccdd32efe8e3f9cd)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-alert-content-text']]
2023-12-19 19:12:739 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 19:12:415 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //input[@placeholder='Username']]
2023-12-19 19:12:455 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //input[@placeholder='Password']]
2023-12-19 19:12:485 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 19:12:232 INFO  ManageBrowser :47 - Clicking on Admin link : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //li[1]//a[1]//span[1]]
2023-12-19 19:12:561 INFO  ManageBrowser :92 - Verifying System Users text : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //h5[normalize-space()='System Users']]
2023-12-19 19:12:53 INFO  ManageBrowser :163 - Clicking on Add button : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //button[normalize-space()='Add']]
2023-12-19 19:12:366 INFO  ManageBrowser :76 - Verifying AddUser text from : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //h6[normalize-space()='Add User']]
2023-12-19 19:12:381 INFO  ManageBrowser :81 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: (//div[@class = 'oxd-select-wrapper'])[1]]
2023-12-19 19:12:506 INFO  ManageBrowser :86 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //span[contains(text(),'Admin')]]
2023-12-19 19:12:558 INFO  ManageBrowser :97 - Enter Peter Mac Anderson to Employee Name field : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //input[@placeholder='Type for hints...']]
2023-12-19 19:12:610 INFO  ManageBrowser :117 - Enter Prime78 to User Name field : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //div[@class = 'oxd-form-row']//input[@class = 'oxd-input oxd-input--active']]
2023-12-19 19:12:640 INFO  ManageBrowser :102 - Clicking on Status drop-down : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //div[contains(text(),'-- Select --')]]
2023-12-19 19:12:779 INFO  ManageBrowser :107 - Clicking on Disable option in Status drop-down : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //span[normalize-space()='Disabled']]
2023-12-19 19:12:823 INFO  ManageBrowser :122 - Enter prime123 to Password field : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //div[@class='oxd-grid-item oxd-grid-item--gutters user-password-cell']//div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@type='password']]
2023-12-19 19:12:860 INFO  ManageBrowser :127 - Enter prime123 to Confirm Password field : [[ChromeDriver: chrome on windows (209e5dbcef758372432503bf87306387)] -> xpath: //div[@class='oxd-grid-item oxd-grid-item--gutters']//div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@type='password']]
